"BehaviorSpace results (NetLogo 6.2.1)"
"Attack-vs-giant-component.nlogo"
"evol-ataque"
"03/23/2022 14:17:23:515 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","num-ataques","tipo-red","num-nodos","[step]","num-comp","max-tam"
"1","aleatorio","50","aleatoria","500","46","40","372"
"6","aleatorio","50","aleatoria","500","36","30","288"
"8","aleatorio","50","aleatoria","500","37","32","333"
"4","aleatorio","50","aleatoria","500","45","55","295"
"1","aleatorio","50","aleatoria","500","47","42","367"
"3","aleatorio","50","aleatoria","500","26","28","241"
"6","aleatorio","50","aleatoria","500","37","30","288"
"8","aleatorio","50","aleatoria","500","38","32","333"
"1","aleatorio","50","aleatoria","500","48","43","365"
"4","aleatorio","50","aleatoria","500","46","56","293"
"3","aleatorio","50","aleatoria","500","27","29","239"
"1","aleatorio","50","aleatoria","500","49","43","364"
"8","aleatorio","50","aleatoria","500","39","34","326"
"6","aleatorio","50","aleatoria","500","38","30","288"
"4","aleatorio","50","aleatoria","500","47","56","293"
"1","aleatorio","50","aleatoria","500","50","44","362"
"3","aleatorio","50","aleatoria","500","28","30","239"
"6","aleatorio","50","aleatoria","500","39","30","287"
"4","aleatorio","50","aleatoria","500","48","58","288"
"3","aleatorio","50","aleatoria","500","29","30","238"
"6","aleatorio","50","aleatoria","500","40","30","287"
"9","aleatorio","50","aleatoria","500","8","8","412"
"8","aleatorio","50","aleatoria","500","40","33","326"
"4","aleatorio","50","aleatoria","500","49","58","287"
"7","aleatorio","50","aleatoria","500","36","30","417"
"3","aleatorio","50","aleatoria","500","30","30","237"
"6","aleatorio","50","aleatoria","500","41","30","286"
"8","aleatorio","50","aleatoria","500","41","33","325"
"10","aleatorio","50","aleatoria","500","0","1","500"
"3","aleatorio","50","aleatoria","500","31","31","237"
"4","aleatorio","50","aleatoria","500","50","60","282"
"6","aleatorio","50","aleatoria","500","42","30","285"
"10","aleatorio","50","aleatoria","500","1","2","497"
"8","aleatorio","50","aleatoria","500","42","34","325"
"10","aleatorio","50","aleatoria","500","2","2","496"
