"BehaviorSpace results (NetLogo 6.2.1)"
"DistSocialLegara.nlogo"
"dist-social"
"03/29/2022 16:01:46:531 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","pob-total","porcentaje-distancia-social","num-días","alpha","beta","prob-infección-dist-social","[step]","nuevos-infectados / pob-total"
"9","2000","60","30","40","10","0","22","0"
"12","2000","60","30","40","10","90","22","0.0225"
"11","2000","60","30","40","10","60","19","0"
"12","2000","60","30","40","10","90","23","0.02"
"10","2000","60","30","40","10","20","21","0"
"9","2000","60","30","40","10","0","23","0"
"2","2000","1","30","40","10","20","30","0"
"10","2000","60","30","40","10","20","22","0"
"9","2000","60","30","40","10","0","24","0"
"12","2000","60","30","40","10","90","24","0.0155"
"11","2000","60","30","40","10","60","20","0"
"10","2000","60","30","40","10","20","23","0"
"12","2000","60","30","40","10","90","25","0.009"
"11","2000","60","30","40","10","60","21","0"
"9","2000","60","30","40","10","0","25","0"
"12","2000","60","30","40","10","90","26","0.01"
"10","2000","60","30","40","10","20","24","0"
"11","2000","60","30","40","10","60","22","0"
"9","2000","60","30","40","10","0","26","0"
"9","2000","60","30","40","10","0","27","0"
"10","2000","60","30","40","10","20","25","0"
"12","2000","60","30","40","10","90","27","0.013"
"11","2000","60","30","40","10","60","23","0"
"9","2000","60","30","40","10","0","28","0"
"10","2000","60","30","40","10","20","26","0"
"11","2000","60","30","40","10","60","24","0"
"12","2000","60","30","40","10","90","28","0.007"
"9","2000","60","30","40","10","0","29","0"
"10","2000","60","30","40","10","20","27","0"
"12","2000","60","30","40","10","90","29","0.004"
"11","2000","60","30","40","10","60","25","0"
"12","2000","60","30","40","10","90","30","0.0025"
"9","2000","60","30","40","10","0","30","0"
"10","2000","60","30","40","10","20","28","0"
"11","2000","60","30","40","10","60","26","0"
"10","2000","60","30","40","10","20","29","0"
"11","2000","60","30","40","10","60","27","0"
"10","2000","60","30","40","10","20","30","0"
"11","2000","60","30","40","10","60","28","0"
"11","2000","60","30","40","10","60","29","0"
"11","2000","60","30","40","10","60","30","0"
